dimensionID,dimension,unitCode,unitISOCode,name,descr
NODMNSN,(no dimensions),DZN,( 2 )
NODMNSN,(no dimensions),EE,( EU )
NODMNSN,(no dimensions),LE,C62,Activity unit ( AU )
NODMNSN,(no dimensions),BAG,BG,Bag ( Bag )
NODMNSN,(no dimensions),BOT,BO,Bottle ( Bt. )
NODMNSN,(no dimensions),BU,BU,Bushel ( BU )
NODMNSN,(no dimensions),KAN,CA,Canister ( Can )
NODMNSN,(no dimensions),KAR,CT,Carton ( Car )
NODMNSN,(no dimensions),CS,CS,Case ( Case )
NODMNSN,(no dimensions),KI,BX,Crate ( Crate )
NODMNSN,(no dimensions),DEG,DD,Degree ( deg )
NODMNSN,(no dimensions),DZ,DZN,Dozen ( dz )
NODMNSN,(no dimensions),DR,DR,Drum ( Dr )
NODMNSN,(no dimensions),EML,EML,Enzyme Units / Milliliter ( EU/ml )
NODMNSN,(no dimensions),G/T,G/T,Gram Active Ingredient/To ( gai/To )
NODMNSN,(no dimensions),GAU,GAU,Gram Gold ( GAU )
NODMNSN,(no dimensions),GAG,GAG,Gram Silver ( GAG )
NODMNSN,(no dimensions),GW,A90,Gram act. ingrd. ( gai )
NODMNSN,(no dimensions),GRO,GRO,Gross ( gro )
NODMNSN,(no dimensions),PCT,PCT,Group proportion ( PrC )
NODMNSN,(no dimensions),IU,IU,International Unit ( IU )
NODMNSN,(no dimensions),KGW,KGW,Kilogram act. ingrd. ( kgai )
NODMNSN,(no dimensions),MBL,MIL,MBL ( MBL )
NODMNSN,(no dimensions),MLW,MLW,Milliliter act. ingr. ( mlai )
NODMNSN,(no dimensions),YTM,YTM,Moisture (Tonnes) ( YTM )
NODMNSN,(no dimensions),NJ,4P,NJ Test ( NJ )
NODMNSN,(no dimensions),PRS,IE,Number of Persons ( PRS )
NODMNSN,(no dimensions),PC,PC,PEICES ( PC )
NODMNSN,(no dimensions),PAK,PK,Pack ( PAK )
NODMNSN,(no dimensions),PAA,PR,Pair ( PAIR )
NODMNSN,(no dimensions),PAL,PF,Pallet ( PAL )
NODMNSN,(no dimensions),ST,PCE,Pices (EA) ( EA )
NODMNSN,(no dimensions),PCE,PCE,Pieces ( PCE )
NODMNSN,(no dimensions),ROL,RO,Role ( ROL )
NODMNSN,(no dimensions),SCM,SCM,SCM ( SCM )
NODMNSN,(no dimensions),TH,MIL,Thousands ( thou )
NODMNSN,(no dimensions),TCU,TCU,Ton Copper ( TCU )
NODMNSN,(no dimensions),TAS,TAS,Tonne Arsenic ( TAS )
NODMNSN,(no dimensions),YTA,YTA,Tonne Ash ( YTA )
NODMNSN,(no dimensions),YTD,YTD,Tonne Dry ( YTDr )
